"No.","Time","Source","Destination","Protocol","Length","Channel frequency","Data rate (Mb/s)","Channel","Channel","Transmitter address","Destination address","Type/Subtype","Info"
"3837","5.520314","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","70","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=527, FN=0, Flags=....R...C"
"3843","5.527246","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","70","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=527, FN=0, Flags=....R...C"
"3844","5.528138","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","70","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=527, FN=0, Flags=....R...C"
"3869","5.547641","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","70","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=527, FN=0, Flags=....R...C"
"3893","5.578396","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","70","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=527, FN=0, Flags=....R...C"
"3951","5.634694","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","70","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=527, FN=0, Flags=....R...C"
"4883","7.134313","BluProdu_1e:27:ae","6c:3f:23:e3:70:1e","802.11","59","2412","1","1","1","60:72:0b:1e:27:ae","6c:3f:23:e3:70:1e","Authentication","Authentication, SN=1450, FN=0, Flags=........C"
"4884","7.135121","BluProdu_1e:27:ae","6c:3f:23:e3:70:1e","802.11","59","2412","1","1","1","60:72:0b:1e:27:ae","6c:3f:23:e3:70:1e","Authentication","Authentication, SN=1450, FN=0, Flags=....R...C"
"4886","7.136829","BluProdu_1e:27:ae","6c:3f:23:e3:70:1e","802.11","59","2412","1","1","1","60:72:0b:1e:27:ae","6c:3f:23:e3:70:1e","Authentication","Authentication, SN=1450, FN=0, Flags=....R...C"
"4898","7.142437","BluProdu_1e:27:ae","6c:3f:23:e3:70:1e","802.11","59","2412","1","1","1","60:72:0b:1e:27:ae","6c:3f:23:e3:70:1e","Authentication","Authentication, SN=1450, FN=0, Flags=....R...C"
"4915","7.151172","BluProdu_1e:27:ae","6c:3f:23:e3:70:1e","802.11","59","2412","1","1","1","60:72:0b:1e:27:ae","6c:3f:23:e3:70:1e","Authentication","Authentication, SN=1450, FN=0, Flags=....R...C"
"4919","7.154195","BluProdu_1e:27:ae","6c:3f:23:e3:70:1e","802.11","59","2412","1","1","1","60:72:0b:1e:27:ae","6c:3f:23:e3:70:1e","Authentication","Authentication, SN=1450, FN=0, Flags=....R...C"
"4942","7.175229","BluProdu_1e:27:ae","6c:3f:23:e3:70:1e","802.11","59","2412","1","1","1","60:72:0b:1e:27:ae","6c:3f:23:e3:70:1e","Authentication","Authentication, SN=1450, FN=0, Flags=....R...C"
